,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
371,Least Concern,South-America,Animalia,Chordata,Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus,Electrophorus Electricus,"Fish, insects, small vertebrates, crustaceans",,,"Despite its powerful shock, electric eels have terrible vision.",Unknown,Humans,Slimy mucus with three organs to generate current.,"Arimna (Venezuela), ‚Äúnumb eel‚Äù (Europe)",Unknown,Murky water,Carnivore,,,Electric eel,3,,,,BrownGreyYellowOrange,Skin,5 mph,"Unknown in wild, 10-22 years in captivity",45+ lbs.,Up to 8+ feet,,,,,,Fish,,None,,,,,,,,,,,,,,,,,,
372,Near Threatened,"('Africa', 'Asia')",Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,,,,,,Spends around 22 hours a day eating!,,,,,,Rainforest and flood plains,Herbivore,1,Herd,,,,Spends around 22 hours a day eating!,,Grey,Leather,25 mph,55 - 70 years,"3,000kg - 5,400kg (6,500lbs - 12,000lbs)",,,,Large body size and long trunk,,,Mammal,,,2m - 3.6m (7ft - 12ft),,,,,"Grass, Fruit, Roots",,,,,,,Grass,,,,,
373,Least Concern,Ocean,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga,,,,,,,,,,Warm coastal waters close to land,Carnivore,1,Herd,,,,The largest species of seal in the world!,,BrownGreyBlackTan,Fur,12 mph,18 - 22 years,"900kg - 3,000kg (2,000lbs - 6,000lbs)",3m - 5m (10ft - 16ft),,,Long trunk-like nose and large body,,,Mammal,,"Human, Sharks, Killer Whales",,,,,,"Fish, Squid, Octopus",,,,,,,Fish,,,,,
374,Least Concern,Africa,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus,,,,,,,,,,"Forest, woodland and grassland",Omnivore,2,Solitary,,,,Found exclusively on the African continent!,,BrownGreyBlackWhiteTan,Fur,8 mph,2 - 5 years,50g - 500g (2oz - 18oz),10cm - 30cm (4in - 12in),,,Long nose and long back legs,,,Mammal,,"Snakes, Lizards, Birds of Prey",,,,,,"Insects, Worms, Spiders",,,,,,,Insects,,,,,
375,Least Concern,"('Asia', 'Eurasia', 'North-America')",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,Baby ground-dwelling birds,Calf,Herd,Adult males can jump eight feet vertically,Unknown,"Diseases, parasites",Large male antlers and bugling sound,"Wapiti, red deer",240-262 days,"Mountain meadows, forests, forest edges",Omnivore,,,"Elk, wapiti",14,"North America, Central Asia, East Asia",,Herd or solitary,Brown,Hair,40 mph,"10-15 years in the wild, 20 years in captivity","171-600kg (377-1,300lbs)",1.6-2.7m (5ft 3in-8ft 10in),16 months,2 months,,,,Cervid,1,,0.75-1.5m (2ft 6in-4ft 11in),,,,,,,,,,,,,,,,,
376,Least Concern,"('Antarctica', 'Ocean')",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,"Fish, Krill, Squid",Chick,Colony,The world's largest species of penguin!,"200,000 breeding pairs",Global warming,Bright yellow feathers on neck and ears,,,Compact sea-ice and ocean,Carnivore,,Diurnal,Emperor Penguin,1,Antarctica,The world's largest species of penguin!,Bird,YellowBlackWhiteOrange,Feathers,15 mph,15 - 50 years,22kg - 45kg (49lbs - 99lbs),,3 - 8 years,,,,,,,"Southern Giant Petrol, Leopard Seal, Killer Whale",100cm - 120cm (39in - 47in),76cm - 89cm (30in - 35in),60 - 70 days,5 - 6 months,1,,,,,,,,,,,,,
377,Least Concern,South-America,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Imperator,,,,,,,,,,Lowland tropical forest,Omnivore,2,Troop,,,,Has an elegant white moustache!,,BrownGreyBlackWhite,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),,,"Small body size and long, thin tail",,,Mammal,,"Hawks, Snakes, Wild Cats",,,,,,"Fruit, Insects, Rodents",,,,,,,Fruit,,,,,
378,Least Concern,Oceania,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae,,,,,,,,,,Open grasslands with bushes close to water,Omnivore,,Flock,,,,The largest bird in Australia!,,BrownGreyBlack,Feathers,25 mph,12 - 20 years,18kg - 60kg (40lbs - 132lbs),,,,Enormous body size and large eyes,,,Bird,,"Human, Wild dogs, Birds of prey",1.5m - 1.9m (4.9ft - 6.2ft),,,,11,"Fruit, Seeds, Insects, Flowers",,,,,,,Fruit,,,,,
379,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,English Cocker Spaniel,,,Intelligent yet stubborn by nature!,Gun Dog,,Hair,,15 years,15kg (34lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Although their coats can get incredibly light in color, golden retrievers never have purely white coats.",,,,,,,Omnivore,,,,,,,,GoldCream,Hair,,10-12 years,75 lbs,,,,,Intelligent and obedient,,,,,,,,,,,,,,,,,,,,,,
381,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"English Foxhounds were bred to work and live in a pack. Because of this, this breed is happiest when they are around other dogs.",,,,,,,Omnivore,,,,,,,,BlackWhiteTanMulti-colored,Hair,,10 to 13 years,75 pounds,,,,,"Friendly, independent, affectionate",,,,,,,,,,,,,,,,,,,,,,
382,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,English Setters were first bred between 400 and 500 years ago.,,,,,,,Omnivore,,,,,,,,BlueOrangeChestnutMulti-coloredOlive-Grey,Hair,,11 to 15 years,80 pounds,,,,,"Friendly, affectionate, and gentle",,,,,,,,,,,,,,,,,,,,,,
384,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,English Shepherd,,,Highly intelligent and independent!,Herd,BlackWhiteTanBrindle,Hair,,14 years,27kg (60lbs),,,,,"Intelligent, shy and devoted",,,,,,,,,,,,,,,,,,,,,,
385,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,English Springer Spaniel,,,Friendly and eager to please!,Gun Dog,,Hair,,12 years,25kg (55lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,These dogs are originally from Switzerland and were bred for their diligence in herding cattle. They get their name from herders in the Swiss Alps.,,,,,,,Omnivore,,,Entlebucher Mountain Dog,,,Native to parts of the Swiss Alps!,Sennenhund,BlackWhiteTan,Hair,,12 years,30kg (65lbs),,,,,"Intelligent, affectionate, stubborn",,,,,,,,,,,,,,,,,,,,,,
387,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,Epagneul Pont-Audemer,,,"Hard-working, gentle and affectionate!",Gun Dog,,Hair,,13 years,24kg (53lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Least Concern,"('Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania')",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea,,Kits,Solitary,A very bold and ferocious predator!,Unknown,Habitat loss,Zig-zagging movement,Stoat or short-tailed weasel,,Woodlands and forests,Carnivore,,,Ermine,,"Europe, Asia, and North America",,Mammals,BrownBlackWhite,Fur,8 mph,Seven to 10 years,60g - 110g (2.1oz - 3.9oz),23cm - 31cm (9in - 12in),A few months to a year,,,,,,Four to 18,"Badgers, foxes, coyotes, eagles, owls, and weasels",,,,,,,,,,,,,"Rodents, shrews, rabbits, frogs, insects, birds, and eggs",,,,,
389,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Eskimo Dog,,,Takes pure delight in cold weather!,North,,Hair,,14 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,Estrela Mountain Dog,,,Very protective and stubborn!,Guard,,Hair,,16 years,47kg (105lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Near Threatened,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,,,,"The falcon is faster than any other animal on earth, both on land and in the air",,,,,,High areas like mountains and cliffs,Carnivore,,Solitary,,,,The fastest creatures on the planet!,,BrownGreyYellowBlackWhite,Feathers,200 mph,12 - 18 years,0.7kg - 1.2kg (1.5lbs - 2.6lbs),,,,"Sharp, pointed beak and aerodynamic body shape",,,Bird,,"Human, Eagles, Owls, Wolves",22cm - 40cm (9in - 19in),74 to 120 cm,Approximately one month,,3,"Birds, Rabbits, Bats",,,,"Tree holes, cliffs, and ledges",Varies with each species,,Birds,1,,,,
392,Least Concern,"('Africa', 'Asia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama,,Fawn,Solitary/Herd,The fallow deer has more variation in its coat colors than most other deer.,"Over 100,000",Humans,An adult deer with a common coat hangs on to the white spots it had as a fawn.,"Shovel deer, Yachmur",231 to 245 days,"Forests, grasslands, low mountains",Herbivore,,,,,,,,BrownBlackWhiteTan,Hair,30 mph,20 to 25 years,66 to 176 pounds,4.27 to 5.74 feet,"17 months for males, 16 months for females",Seven months,,,,Mammal,1,"Humans, bears, cougars, wolves","2.95 feet to 3.28 feet at the shoulder for males, females smaller",,,,,,,,,,,,Vegetation,,,,,
393,Near Threatened,Ocean,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Pseudorca,Pseudorca crassidens,"Fish, squid, and marine mammals",,Pod,The false killer whale looks like a cross between a dolphin and orca!,Unknown,Competition with humans for food,The versatile vocalizations,Blackfish or false pilot whale,Up to 16 months,Coastal and deep ocean regions,Carnivore,1,,False killer whale,,,,,GreyBlackWhite,Skin,18 mph,Around 60 years,"Up to 4,000 pounds",Up to 20 feet,,,,,,Mammal,,Sharks and killer whales,,,,,,,Salt,,,,,,,,,,,
394,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Arachnida, Araneae,Theridiidae,Steatoda,Steatoda grossa,Other spiders and various insects,,Solitary,False spiders actually prey on black widow spiders and other hazardous spiders,,,,,,"While they prefer living indoors, these insects can be found in many outdoor ecosystems",Carnivore,,,,,All over the globe,,,BrownRed,Exoskeleton,,Males: 1 to 1¬Ω years; Females: Up to 6 years,Up to .03 ounces,Males: 0.16 to 0.27 inches; Females: 0.27 and 0.59 inches,,,,,,,Egg sacs can consist of up to 200 eggs,,,,,,,,,,,,,,,,,,,
395,Least Concern,Ocean,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,Anoplogaster,Anoplogaster,"Scallops, coral",,Solitary/Group,Has the largest teeth compared to body size of any known fish,Unknown,"Tuna, marlin, small sharks",Protruding jaw and fangs,Common fangtooth,Unknown,Deep ocean,Carnivore,,,,,,,,BrownGreyYellowBlack,Scales,,,75lbs,1.05m - 2.20m (3.4ft - 7.3ft),,,,,,Beryciform,,,,,,,,,,,,,,,,,,,Saltwater,
396,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The word feisty derived from this type of dog.,,,,,,,Omnivore,,,,,,,,BrownWhite,Hair,,15 ‚Äì 18 years,30 lbs,,,,,"Fearless, spirited, and friendly",,,,,,,,,,,,,,,,,,,,,,
397,Least Concern,"('Africa', 'Asia')",Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes zerda,"Berries, Fruit, Rodents, Reptiles",Kit,Sociable,Can get all their water from their food!,Unknown,Habitat loss and hunting,"Large, over-sized ears",,52 days,Sandy and semi-arid desert,Omnivore,3,Nocturnal,Fennec Fox,1,North Africa,Found in the African Sahara Desert!,Mammal,WhiteCreamSandy,Fur,25 mph,10 - 14 years,1kg - 1.5kg (2.2lbs - 3.3lbs),24cm -41cm (9in - 16in),9 months,5 weeks,,,,,,,,,,,,,,,,,,,,,,,,
398,Near Threatened,Europe,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,,,,Ferrets can be trained to do tricks like dogs.,,,,,,Forest and grasslands,Carnivore,4,Solitary,,,,Ferrets can be trained to do tricks like dogs!,,BrownGreyBlackTan,Fur,15 mph,7 - 10 years,0.7kg - 2kg (1.5lbs - 4lbs),40cm - 50cm (18in - 21in),,,Long thin body and large eyes,,,Mammal,,,,,,,,"Mice, Rabbit, Gophers",,,,,,,Mice,,,,,
399,Least Concern,"('Central-America', 'North-America')",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,"Rodents, rabbits, hares, gophers, reptiles, amphibians, small birds, and insects",,,The ferruginous hawk comes in both light and dark morphs,Tens of thousands,Loss of nesting sites,Rust-colored plumage,Ferruginous rough-leg hawk,,Open dry plains,Carnivore,,,Ferruginous hawk,1,North America,,,BrownRedBlackWhite,Feathers,150 mph,,2‚Äì4.5lbs,22-27 inches,,,,,,Bird,,"Golden eagles, bobcats, and coyotes",,4-5ft,A month,,,,,,,"Cliffs, trees, and other high structures",5-6 weeks,,,1,,,,
400,Least Concern,"('Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,,,"Dead, decaying plants and animals, bacteria, algae, and fungus",,Colony,The fiddler crab gets its name from the motion the males make with their over-sized claw during the mating ritual.,,Habitat loss,Enlarged claw on the male,,2 weeks,Sandy beaches and salt or brackish water,Omnivore,,,"Fiddler crab, Calling crab",106,,,,BrownGreyYellowBlueBlackPurple,Exoskeleton,,1 1/2 years,1.8 grams,"2"" or less",,,,,,Crustacean,,"Egrets, herons, raccoons",,,,,,,Brackish,,,,,,,,7.2 to 8.2,,,
401,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"While originally bred for hunting, Field Spaniels are more commonly used as a family dog or a show dog.",,,,,,,Omnivore,,,Field Spaniel,,,A sociable and adaptable breed!,Gun Dog,,Hair,,14 years,23kg (50lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Not Listed,South-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,"The breed has a unique, cat-like gait, while females have a finer gait than males.",,,,Brazilian Mastiff and Brazilian Molosser,,,Omnivore,,,Fila Brasileiro,,,,,YellowFawnRedBlackBrindleLight Grey,Hair,36 mph,9-12 years,,,,,,Intense and loyal,,Mammal,2-5 puppies,,,,,,,,,,,,,Brazil,,,,,,
403,Endangered,Ocean,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera Physalus,,,,,,,,,,Deep offshore waters,Carnivore,1,Herd,,,,Found throughout ocean waters worldwide!,,GreyBlueBlackWhite,Smooth,25 mph,50 - 60 years,"1,800kg - 70,000kg (4,000lbs - 150,000lbs)",6.5m - 24m (21ft - 79ft),,,Pointed snout and two blowholes on top of head,,,Mammal,,"Human, Large Sharks",,,,,,"Krill, Fish, Squid",,,,,,,Krill,,,,,
404,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Likes to bark a lot!,,,,,,,Omnivore,,,Finnish Spitz,,,Likes to bark a lot!,North,RedGold,Hair,,15 years,33lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Least Concern,Europe,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,,,"Salamander nymphs, metamorphs",Solitary,Its name comes from the fact that people once believed it was born in fire,Unknown,Bsal fungus,Striking colors,,60-150 days (2-5 months),Forests,Carnivore,,,Fire salamander,13,Central and Southern Europe,,,YellowRedBlackOrange,Permeable,,,40g (0.09lbs),15‚Äì30 cm (6-12 in) long,4-6 years,,,,,Amphibian,20-75,Grass snakes,,,,,,,,,,,,,,,,,,
406,Least Concern,"('Asia', 'Europe')",Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina,,,,,,,,,,"Forests, jungle and marshes",Carnivore,,Solitary,,,,Found across mainland Europe and Asia!,,BrownGreyYellowRedBlackGreenOrange,Permeable,5 mph,10 - 15 years,20g - 80g (0.7oz - 2.8oz),4cm - 7cm (1.5in - 3in),,,Brightly coloured belly and long toes,,,Amphibian,,"Foxes, Snakes, Birds",,,,,200,"Insects, Worms, Spiders",,,,,,,Insects,,,,,
407,Least Concern,North-America,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,"Rodents, hares, shrews, porcupines, birds, fruits, mushrooms, and nuts",Kits,Solitary,The fisher is an agile climber and makes its home in tree hollows,"100,000",Hunting and habitat loss,"The dense, luxurious coat of fur","Fisher, black cat, black fox, and pekan",10-12 months,Forests,Omnivore,,,Fisher Cat,1,North America,,,BrownBlackWhiteGoldSilver,Fur,,Up to 10 years,1.4-6.8kg (3-15lbs),50-63cm (20-25in),1-2 years,8-16 weeks,,,,Mammal,1-6 kits,"Bobcats, lynxes, foxes, and hawks",Up to 30cm (12in),,,,,,,,,,,,,,,,,
408,Endangered,Asia,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Prionailurus viverrinus,"Fish, Shellfish, Snakes",Kitten,Solitary,Scoops fish out of the water using its paw!,"Less than 10,000",Habitat loss,"Long, stocky body and slightly webbed paws",,63 days,Variety of wetland habitats,Carnivore,2,Nocturnal,Fishing Cat,2,south-east Asia,Scoops fish out of the water using it's paw!,Mammal,BlackOlive-Grey,Fur,34 mph,10 - 12 years,5.5kg - 8kg (12lbs - 17.6lbs),57cm - 85cm (22.4in - 33.4in),9 - 10 months,4 - 6 months,,,,,,,,,,,,,,,,,,,,,,,Saltwater,
409,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America')",Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,,,,,Sleeps on just one leg!,,,,,,Large lakes and plant less lagoons,Omnivore,,Flock,,,,Sleeps on just one leg!,,BlueWhiteOrangePink,Feathers,31 mph,15 - 30 years,2kg - 4kg (4.4lbs - 8.8lbs),,,,"Long, curved beak and sleep standing on one leg",,,Bird,,"Human, Eagles, Wild dogs",100cm - 150cm (39in - 59in),100cm - 180cm (59in - 71in),,,1,"Algae, Fish, Insects",,,,,,,Algae,,,,,
410,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Flat-Coated Retrievers are one of the oldest retriever breeds; they were bred beginning in the 19th century.,,,,,,,Omnivore,,,Flat-Coated Retriever,,,A game retrieving gun-dog!,Gun Dog,,Hair,,12 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Arthropoda,Insecta,Siphonaptera,,,,,Larvae,Solitary,Adult fleas can jump up to 7 inches in the air,Unknown,None,The long legs,,A week,Mammal and bird hosts in various habitats,Carnivore,,,Flea,1998,Worldwide,,,BrownRedBlack,Exoskeleton,4.25 mph,A few months to a year,1mg,1.5-3.3mm (0.1in),3-4 weeks,,,,,Insect,25-40 eggs per day,"Insects, spiders, lizards, snakes, and frogs",,,,,,,,,,,,,Blood and other organic matter,,,,,
412,Least Concern,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platyrhincus,,,School,The Florida gar has toxic eggs to protect against predators,Unknown,Habitat loss,Sharp teeth,Garpike,A few days,"Rivers, lakes, canals, and wetlands",Carnivore,,,Florida Gar,1,,,,BrownBlackWhiteGreen,,,Unknown,Up to 10lbs,Up to 1.3m (52in),,,,,,Ray-finned fish,,"Humans, alligators, and birds",,,,,,"Fish, shrimp, and crayfish",,,,,,,,,,,,
413,Endangered,North-America,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor couguar,white-tail deer,kittens,Solitary,Florida panthers can leap more than 4.5 meters (15 feet) in the air.,125,Man,Crooked tail,"Florida mountain lion, Florida cougar, Florida puma",92-96 days,"Forests, wetlands, and grasslands",Carnivore,,,Florida panther,1,Southeast U.S.,,Solitary,WhiteTan,Hair,25 mph,,45kg-73kg (100lbs-160lbs),1.8m ‚Äì 2.3m (6ft-7.5ft),18 ‚Äì36 months,3-4 months,,,,Mammals,01-Ó¯ı,Man,0.6m- 0.7m(24in-28in),,,,,,,,,,,,,,,,,
414,Least Concern,Ocean,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys,"Shrimp, crabs, and other fish",,Solitary,The flounder lies motionless on the ground to ambush prey!,Perhaps some 30 million,Overfishing,The flat body,Flatfish,A few weeks,"Coastal waters near docks, bridges, or reefs",Carnivore,,,Flounder,,,A flat fish found in the Atlantic and Pacific!,,BrownBlueWhiteTanGreenOrange,Scales,,Three to 10 years on average,Up to 22 pounds,Up to 37 inches,,,,,,Fish,,"Sharks, eels, and humans",,,,,,,Salt,,,,,,Small Fish,,6.5 - 8.0,,,
415,Not Listed,"('Asia', 'North-America')",Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,,,"Shrimp, worms, insects, and plant matter",Larvae and fry,Solitary,The Flowerhorn fish is an artificial species; it does not exist naturally,Unknown,None,The bulbous skin on the forehead,Flowerhorn Cichlid,1 - 2 weeks,Freshwater,Omnivore,,,Flowerhorn Fish,1,Worldwide,,,RedBlueBlackWhiteGreenOrange,Scales,,Up to 12 years,About 0.5kg (1lb),Up to 40cm (16in),Up to a year,A few days,,,,Ray-finned fish,,Larger fish,,,,,,,,,"Up to 1,000 at a time",,,,,,,,,
416,Least Concern,Ocean,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys dentatus,"Crabs, squid, shrimp, forage fish such as anchovies, and even smaller flounders!",,,Chameleons of the sea!,,,,,,Near shore during summers and offshore during fall and winter,Omnivore,,,Fluke and Summer Flounders,,Off the U.S. and Canadian Atlantic Coast,The chameleon of the seas!,Flatfish,Brown,Hair,,Up to 14 years,Rarely exceeds 20 pounds,Females grow up to 3 feet,No later than 3 years,,,,,,,"Monkfish, sharks, rays",,,,,,,,,Up to 4 million,,,,,,,Can change color and texture like a chameleon!,,
